Amazon.com Inc,AMZN,Consumer Discretionary
Best Buy Co. Inc.,BBY,Consumer Discretionary
CBS Corp.,CBS,Consumer Discretionary
Dish Network,DISH,Consumer Discretionary
Ford Motor,F,Consumer Discretionary
Gap Inc.,GPS,Consumer Discretionary
Genuine Parts,GPC,Consumer Discretionary
Harley-Davidson,HOG,Consumer Discretionary
McDonald's Corp.,MCD,Consumer Discretionary
Archer-Daniels-Midland Co,ADM,Consumer Staples
Coca-Cola Company,KO,Consumer Staples
Colgate-Palmolive,CL,Consumer Staples
CVS Health,CVS,Consumer Staples
General Mills,GIS,Consumer Staples
PepsiCo Inc.,PEP,Consumer Staples
Wal-Mart Stores,WMT,Consumer Staples
Philip Morris International,PM,Consumer Staples
Sysco Corp.,SYY,Consumer Staples
Walgreens Boots Alliance,WBA,Consumer Staples
Anadarko Petroleum Corp,APC,ENERGY
Chevron Corp.,CVX,ENERGY
Devon Energy Corp.,DVN,ENERGY
Williams Cos.,WMB,ENERGY
Schlumberger Ltd.,SLB,ENERGY
Occidental Petroleum,OXY,ENERGY
Marathon Oil Corp.,MRO,ENERGY
TechnipFMC,FTI,ENERGY
Valero Energy,VLO,ENERGY
American Express Co,AXP,Financials
American International Group,AIG,Financials
Bank of America Corp,BAC,Financials
Block H&R,HRB,Financials
Citigroup Inc.,C,Financials
JPMorgan Chase & Co.,JPM,Financials
Lincoln National,LNC,Financials
MetLife Inc.,MET,Financials
Morgan Stanley,MS,Financials
Abbott Laboratories,ABT,HEALTH CARE
Agilent Technologies Inc,A,HEALTH CARE
Baxter International Inc.,BAX,HEALTH CARE
CIGNA Corp.,CI,HEALTH CARE
Johnson & Johnson,JNJ,HEALTH CARE
Lilly(Eli)HEALTH CARE & Co.,LLY,HEALTH CARE
Medtronic plc,MDT,HEALTH CARE
United Health Group Inc.,UNH,HEALTH CARE
Waters Corporation,WAT,HEALTH CARE
Zimmer Biomet Holdings,ZBH,HEALTH CARE
3M Company,MMM,Industrials
Arconic Inc,ARNC,Industrials
A.O. Smith Corp,AOS,Industrials
Caterpillar Inc.,CAT,Industrials
CSX Corp.,CSX,Industrials
Cummins Inc.,CMI,Industrials
Eaton Corporation,ETN,Industrials
Honeywell Int'l Inc.,HON,Industrials
PACCAR Inc.,PCAR,Industrials
Textron Inc.,TXT,Industrials
Adobe Systems Inc,ADBE,Information Technology
Apple Inc.,AAPL,Information Technology
Cisco Systems,CSCO,Information Technology
Facebook Inc.,FB,Information Technology
Intel Corp.,INTC,Information Technology
IBM,IBM,Information Technology
Microsoft Corp.,MSFT,Information Technology
Oracle Corp.,ORCL,Information Technology
Salesforce.com,CRM,Information Technology
Alphabet Inc Class A,GOOGL,Information Technology
Air Products & Chemicals Inc,APD,Materials Utilities And Telecomunication services 
Sherwin-Williams,SHW,Materials Utilities And Telecomunication services        
WestRock Company,WRK,Materials Utilities And Telecomunication services
Ecolab Inc.,ECL,Materials Utilities And Telecomunication services     
Eastman Chemical,EMN,Materials Utilities And Telecomunication services    
AT&T Inc,T,Materials Utilities And Telecomunication services     
CenturyLink Inc,CTL,Materials Utilities And Telecomunication services 
Verizon Communications,VZ,Materials Utilities And Telecomunication services   
AES Corp,AES,Materials Utilities And Telecomunication services                      
